//简体繁体差异词语， 不要在第一行增加内容，留给注释用，3846行开始的是从另一个网站下载的，可能有点问题。
//内容格式为：简体+Tab+繁体
双页	兩頁
可参考的程序文件	可參考的執行檔案
跟踪引用	參照追蹤
引用	參照
引用项目	參照項目
引用页	參照頁
精链	精鍊
暂存器保存类	暫存器儲存類別
暂存器变量	暫存器變數
注册事件	註冊事件
注册位置	註冊位置
已注册的	已註冊的
登录一个工作流程应用程序	登錄一個工作流程應用程式
暂存器窗口	暫存器視窗
注册器脚本	註冊器腳本
注册脚本	註冊腳本
系统注册数据库	系統註冊資料庫
注册登录文件	註冊登錄檔案
注册金  	註冊金錀
注册应用程序	註冊應用程式
注册表设置数值管理	註冊表設定值管理
注册数据库	註冊資料庫
注册表编辑	註冊表編輯
注册表错误	註冊表錯誤
注册表项	註冊表項目
注册表	註冊表
规则表达式对象	規則運算式物件
正则表达式	正規運算式
关联式数据库	關聯式資料庫
关系运算符	關係運算子
相对链接	相對連結
发行的编译版	發行的組建
重新配置信息	重新配置資訊
剩余	剩下
远程访问服务 (RAS)	遠端存取服務 (RAS)
远程数据控件 (RDC)	遠端資料控制項 (RDC)
远程数据对象 (RDO)	遠端資料物件 (RDO)
远程数据服务 (RDS)	遠端資料服務 (RDS)
远程调试监视器	遠端偵錯監視器
远程程序调用 (RPC)	遠端程序呼叫 (RPC)
远程计算机	遠端電腦
远程连接	遠端連線
远程调试	遠端偵錯
远程磁盘	遠端磁碟
远程机器	遠端機器
远程管理	遠端管理
遥感技术	遙測技術
远程伺服程序	遠端伺服程式
远程	遠端
移除文件	移除檔案
移除程序	移除程式
可移动磁盘	抽取式磁碟
重命名	重新命名
正在渲染音频	正在演算上色音訊
正在渲染	正在演算上色
重复上次操作	重複上次的動作
全部替换	全部取代
批量文件替换	多重檔案取代
文件中替换	檔案中取代
项目中替换	專案中取代
复制管理器	複製管理器
限制复制准则	限制複製準則
全部回覆	回給全部
保存机制浏览器	儲存機制瀏覽器
保存机制引擎	儲存機制引擎
复制生产	複製生產
解析运算符	決議運算子
解析过程	決議程序
分辨率	解析度
资源查看	資源檢視
资源浏览窗口	資源瀏覽視窗
资源文件	資源檔案
资源标识码	資源識別碼
资源定义文件	資源定義檔案
Response 参量	Response 引數
响应文件	回應檔案
响应	回應
计算机重新启动	電腦重新啟動
将窗口恢复到正常大小	將視窗回存成標準的大小
还原窗口	回存視窗
保留功能在启动状态	保留功能在啟動狀態
取回文件	取回檔案
返回值	傳回值
返回	傳回
反向累加查找	反向累加搜尋
倒放扫描	倒放掃瞄
Rich Edit 控件	Rich Edit 控制項
Rich Edit 查看	Rich Edit 檢視
RTF 文件	RTF 檔案
右对齐	靠右對齊
鼠标右键	滑鼠右鍵
右手习惯	慣用右手
滚动	捲動
回滚缓冲区	回捲緩衝區
回滚操作	回捲動作
根对象	根物件
根证书	主要認證
根保存对象	根儲存物件
往返保存区	往返儲存區
往返流式	往返資料流
路径设置	路徑設定
数据行指标	資料橫列指標
行	橫列
列级别安全性	列層級安全性
数据列最小高度	資料列最小高度
数据列集扩展	資料列集擴展
数据列集	資料列集
运行时期 DLL	執行時期 DLL
运行 TemporaryMacro	執行 TemporaryMacro
内存用完	記憶體用完
运行时期	執行時期
运行时期库参考手册	執行時期程式庫參考手冊
仅限运行阶段	僅限執行階段
运行时期库	執行時期程式庫
运行时期行为	執行時期行為
运行时期类信息	執行時期類別資訊
运行时期错误	執行時期錯誤
运行时期实例	執行時期實體
运行时期对象	執行時期物件
运行时期属性	執行時期內容
运行时期类型信息 (RTTI)	執行時期類型資訊 (RTTI)
运行时期	執行時期
运行对象表格 	執行物件表格
运行状态	執行狀態
运行	執行
运行中	執行中
运行时检查	執行時檢查
运行时类型信息 	執行時類型資訊
运行时	執行時
可用年限退出后的价值	可用年限結束後的價值
重名	同名
同一窗口	相同視窗
示例	範例
采样频率 	取樣頻率
采样	取樣
饱合度	濃度
周六	週六
文件另存为	檔案另存為
将文件保存到 Web	將檔案儲存到 Web
保存文件	儲存檔案
保存选定项目	儲存選取項目
将副本存为	另存備份
保存文档	儲存文件
另存文件类型	存檔類型
保存文件	儲存檔案
项目另存为	專案另存為
保存项目	儲存專案
保存方案	儲存方案
保存当前文档	儲存作用中文件
保存此项目	儲存此專案
以编码方式保存	以編碼方式儲存
保存	儲存
数值类字体	數值類字型
扫描线 	掃描線
扫描仪	掃瞄器
散布组件 	散佈組件
实例	案例
情景检测	場景偵測
情景	場景
计划	排程
已计划	已排程
结构描述词汇 	結構描述詞彙
结构描述编号 	結構描述編號
结构描述数据列集	結構描述資料列集
科技园	科學園區
生存空间运算符	生存空間運算子
屏幕助读员	螢幕助讀員
屏幕座标	螢幕座標
屏幕	螢幕
Scribble 应用程序	Scribble 應用程式
脚本文件	腳本檔案
脚本装载支持	腳本裝載支援
脚本对象模型 (SOM)	腳本物件模型 (SOM)
脚本对象	腳本物件
向下滚动	向下捲動
向上滚动	向上捲動
滚动条	捲軸
滚动块	捲動方塊
滚动条码	捲軸碼
滚动条控件	捲軸控制項
滚动条	捲軸
滚动范围	捲動範圍
滚动	捲動
SCSI 配置	SCSI 組態
查找条件	搜尋條件
查找准则	搜尋準則
搜索顺序	搜尋順序
查找结果	搜尋結果
查找目标	尋找目標
向上查找	向上搜尋
查找	搜尋
次要相依信息	次要相依資訊
节段名	節段名稱
安全警告	安全性警告
安全信息	安全資訊
安全设置数值	安全設定值
安全对象模型	安全物件模型
安全性支持供应商介面 (SSPI)	安全性支援提供者介面 (SSPI)
安全向导	安全精靈
安全标识码 (SID)	安全識別碼 (SID)
安全标识码	安全識別碼
部分架构	部分方案
全部选定	全選
选定组	選取群組
全部选定	全選
选择整个文档	選擇整份的文件
可选定的	可選取的
选定文字	選取文字
选择对象	選擇物件
所选内容	選擇的部份
选择陈述式 	選擇陳述式
选定跟踪 	選取追蹤
自解压缩 .exe 文件	自解壓縮 .exe 檔案
独立的 	獨立的
自我联结 	自我聯結
号志	號誌
发送文件	發出檔案
传感器	感知器
分隔页文件	分隔檔案
分隔页文件	分隔檔案
数字分组符号	位數分隔符號
分隔符	分隔字元
循序评估运算符	循序評估運算子
序列号	序號
服务器总管	伺服器總管
服务器扩充功能	伺服器擴充功能
服务器应用程序	伺服器應用程式
服务器文档	伺服器文件
服务器项	伺服器項目
服务端对象	伺服端物件
服务器进程	伺服器進程
服务程序	伺服程式
服务器脚本	伺服器腳本
服务程序	伺服程式
服务器	伺服器
服务器端组件	伺服器端元件
服务组件	服務元件
服务供应商	服務提供者
服务供应商	服務提供者
期间标识码	期間識別碼
连接期间对象	連線期間物件
无会议期间的 ASP 网页	無工作階段的 ASP 網頁
设置作用点	設定作用點
设成默认值	設成預設值
设置为	設定為
设置缩略图	設定縮圖
安装控制面板	設定控制台
设置电源方案	電源方案設定
设置数值	設定值
设置值	設定值
配置完成	設定完成
设置	設定
表层复制 	表層複製
文件和打印共享	分享檔案及印表機
共享级	共用級
共用组件	共用元件
共享文件	共享的檔案
共用库	共用程式庫
共用内存	共用記憶體
共享质量	共享品質
共享冲突	共享違規
锐利图片视频	銳利圖片視訊
移位运算符	移位運算子
最少生成 	最少運算
短整数 	短整數
短整数 	短整數
热键	快速鍵
热键菜单	快速鍵功能表
快捷方式名	捷徑名稱
快捷方式指向	捷徑參照
快捷方式	捷徑
显示无框线项目标边框	顯示無框線項目的邊框
显示调用端	顯示呼叫端
显示调用	顯示呼叫
显示程序代码字节	顯示代碼位元組
同层网页 	同層網頁
同级别窗口 	同層級視窗
同级别 	同層級
副作用 	副作用
正负号位	正負號位元
签名码 	簽名碼
带正负号的整数 	帶正負號的整數
带正负号的值 	帶正負號的值
无信息模式 	無訊息模式
简易对象访问协议 (SOAP)	簡易物件存取通訊協定 (SOAP)
简单绑定	簡單繫結
简单系结	簡單繫結
单击	按一下
单乐器	單一樂器
单精准浮点数	單精準浮點數
单一字节字符集 (SBCS)	單一位元組字元集 (SBCS)
单行编辑控件	單行編輯控制項
单向链接串列	單向連結串列
站点结构图	網站結構圖
站点使用权	站台使用權
站点结构文件	網站結構檔案
站点转换	網站轉換
站点	站台
站点	網站
站点组件	站台元件
均匀排列	貼齊格線
基本架构应用程序	基本架構應用程式
小图标	小圖示
小型内存模型	小型記憶體模型
智能型编辑器错误	智慧型編輯器錯誤
智能标签 Plugins	智慧標籤 Plugins
智能标签 SDK	智慧標籤 SDK
智能型指标	智慧型指標
智能终端	智慧型終端機
智能	智慧
快照数据录集	快照資料錄集
快照发送	快照傳送
套接字	通訊端
软断开	軟中斷
软件开发者套件	軟體開發者套件
软件开发套件 (SDK)	軟體開發套件 (SDK)
软件	軟體
方案配置	方案組態
方案数据库服务器	方案資料庫伺服器
方案文件名	方案檔案名稱
方案对象	方案物件
升序排序	遞增排序
降序排序	遞減排序
排序文件	排序檔案
声卡	音效卡
声卡	音效卡
声音方案	音效方案
原始字符集	來源字元集
源代码控制	來源程式碼控制
源代码编辑器	來源程式碼編輯器
源代码	來源程式碼
源匣	來源匣
源文件	來源檔案
源格式	來源格式
源链接	來源連結
源网页	來源網頁
源路径	來源路徑
源项目类型	來源專案類型
源	來源
原始文件	原始檔案
原始程序代码控制系统	原始程式碼控制系統
合并	合併
特殊字符	特殊字元
特化	特殊化
拼写检查	拼字檢查
拼写	拼字
微调控件	微調控制項
拆分条	分隔列
拆分方块	分隔方塊
拆分素材	分割素材
分隔组对象	分隔群組物件
拆分场景	分割場景
分隔条	分隔列
后台打印数据格式	多工緩衝處理資料格式
后台打印	多工緩衝處理
静态分割窗口	靜態分割視窗
SQL 数据库	SQL 資料庫
栈分派	堆疊分派
栈检查	堆疊檢查
栈框架	堆疊框架
栈上限溢位	堆疊上限溢位
栈重叠	堆疊重疊
栈探查	堆疊探查
栈大小	堆疊大小
栈下限溢位	堆疊下限溢位
栈辗转开解	堆疊輾轉開解
栈核实行程	堆疊查核行程
栈	堆疊
开发用服务器	開發用伺服器
过时的程序代码	過時的程式碼
独立程序代码	獨立程式碼
独立对象	獨立物件
独立应用程序	獨立應用程式
标准数据格式库	標準資料格式程式庫
标准程序文件	標準執行檔案
标准事件	標準事件
标准通用标志语言 (SGML)	標準通用標記語言 (SGML)
标准的应用程序套件	標準的應用程式套件
标准控件	標準控制項
标准类型转换	標準類型轉換
标准错误设备 	標準錯誤裝置
标准键入设备	標準輸入裝置
标准输出入 (I/O)	標準輸出入 (I/O)
标准程式库	標準程式庫
标准模块	標準模組
标准输出设备	標準輸出裝置
标准资源	標準資源
标准卷轴	標準捲軸
标准模板库	標準模板程式庫
启动帮助	啟動幫助
开始菜单	開始功能表
“开始”菜单	開始功能表
启动模式	啟動模式
初始网页	起始網頁
起始位置	開始位置
初始应用程序	起始應用程式
初始文件 	起始檔案
启始程序代码 	啟始程式碼
启动表单	啟動表單
启动特性	啟動特性
状态信息	狀態資訊
没有状态 	沒有狀態
语句	述句
陈述式 	陳述式
静态绑定	靜態繫結
静态组件	靜態元件
静态控件	靜態控制項
静态数据指标	靜態資料指標
静态数据成员	靜態資料成員
静态数据	靜態資料
静态扩展 	靜態延伸
静态链接	靜態連結
静态成员函式 	靜態成員函式
静态对象	靜態物件
静态分隔窗口	靜態分隔視窗
静态保存类	靜態儲存類別
静态类型信息 	靜態類型資訊
静态 	靜態
静态链接库	靜態連結程式庫
静态类型 	靜態類型
状态栏	狀態列
状态栏	狀態列
状态栏	狀態列
模板 	模板
依命令逐步运行	依命令逐步執行
依行逐步运行	依行逐步執行
依陈述式逐步运行	依陳述式逐步執行
逐步运行单位	逐步執行單位
逐步运行至特定处	逐步執行至特定處
粘附应用程序	粘附應用程式
内置事件 	內建事件
内置特性	內建特性
保存类	儲存類別
保存对象	儲存物件
保存区	儲存區
保存体	儲存體
预存程序 	預存程序
保存项目	儲存項目
情景线	故事板
流式 I/O 	串流 I/O
流式文件对象 	串流檔案物件
流式对象 	串流物件
流式套接字	串流通訊端
流式	串流
流式媒体	串流媒體
流式	資料流
复杂生成简化	複雜運算簡化
烈度	強度
字符串编辑器	字串編輯器
字符串串连运算符	字串串連運算子
字符串常量	字串常數
字符串表达式	字串運算式
字符串标识码	字串識別碼
字符串常值 	字串常值
字符串名称	字串名稱
字符串共用 	字串共用
字符串资源	字串資源
字符串数据表 	字串資料表
字符串变量名称	字串變數名稱
字符串	字串
字符串比较作业	字串比較作業
单项工作列表	單項工作清單
结构化保存体	結構化儲存體
Stub 文件	Stub 檔案
Stub 库	Stub 程式庫
样式生成器	樣式產生器
样式位	樣式位元
样式预先设置	樣式預先設定
子网掩码	子網路遮罩
子地址	子位址
子类	子類別
子类化	子類別化
子数据工作表	子資料工作表
再分割情景	再分割場景
子表达式	子運算式
子文件类型	子檔案類型
子文件	子檔案
子文件夹	子資料夾
子文件夹	子資料夾
子菜单	子功能表
发送者	傳送者
子网掩码	子網路遮罩
子对象	子物件
子程序	子程式
注标 	註標
订阅数据库	訂閱資料庫
子字符串	子字串
子类	子類別
后置字符	後置字元
夏时制	夏令時間
周日	週日
超级用户	監督人
供应商	提供者
支持	支援
交换文件	交換檔案
切换控制级别	切換控制層級
打开任务列表	切換到其他的作業
切换到下一个文档窗口	切換到下一個文件視窗
切换到上一个文档窗口	切換到上一個文件視窗
符号调试信息 	符號偵錯資訊
符号调试信息 	符號偵錯資訊
同步对象 	同步物件
同步处理 	同步處理
同步文件夹	同步資料夾
同步 	同步
同步调用 	同步呼叫
同步作业 	同步作業
同步副本	同步備份
同义数据表 	同義資料表
系统剪贴板	系統剪貼簿
系统数据库	系統資料庫
系统文件	系統檔案
系统字体	系統字型
系统标识字 	系統識別字
系统日志	系統日誌
系统强制响应对话框 	系統強制回應對話方塊
系统的对象	系統的物件
系统调色板	系統色板
系统注册表	系統註冊表
系统托盘	系統匣
系统托盘	系統匣
系统托盘	系統匣
页签控件	頁籤控制項
跳格键	定位鍵
页签	頁籤
数据表阶层	資料表階層
数据表词汇	資料表詞彙
数据表	資料表
表格化对象	表格化物件
表格类型的数据录集	表格類型的資料錄集
数据表文件夹	資料表資料夾
制表符	定位字元
表格式数据	表格式資料
标签	標籤
带入视频	帶入視訊
目标文件夹	目的資料夾
目标计算机	目標電腦
目标网页	目的網頁
目标类型 	目標類型
目标 	目標
任务列表	工作清單
任务栏	工作列
任务句柄	工作句柄
任务管理器	工作管理器
任务	工作
任务栏	工作列
出租车	計程車
TCP 通道协议	TCP 通道通訊協定
技术提示 	技術提示
模板参数推导	模板引數推導
模板参量	模板引數
模板类	模板類別
暂存磁盘	暫存磁碟
临时文件	暫時檔案
暂存对象	暫存物件
暂存窗口	暫存視窗
终端屏幕	終端機螢幕
终端	終端機
三元运算符	三元運算子
文本文件	文字檔案
文本模式	文字模式
文本位置	文字位置
文本对齐旗标	文字對齊旗標
文本方块	文字方塊
文本方块图案	文字方塊圖案
泰王国	泰國
IDPK 的核心文件	IDPK 的核心檔案
运行时授权标识码	執行時授權識別碼
最后一条	最後一筆
布景主题	佈景主題
第三次浪潮	第三波
此一连接	此一連線
该设备	這個裝置
此一文件	此一檔案
这个文件	這個檔案
该选项	這個選項
该程序	這個程式
该用户	這個使用者
线程标识码	線程識別碼
线程栏	線程列
线程区域保存区	線程區域儲存區
三态复选框	三維核取方塊
缩略图表示	縮圖表示
缩略图	縮圖
周四	週四
刻度标志	刻度標記
水平平铺	水平並排
垂直平铺	垂直並排
超时	逾時
校时服务器	校時伺服器
时钟设置	時間設定
超时值	逾時值
超时	逾時
超时	逾時
计时器标识码	計時器識別碼
向左或向右	往左或往右
卫生间	廁所
音频式电话	按鍵式電話
墨粉	碳粉
工具信息模型	工具資訊模型
工具窗口	工具視窗
工具栏编辑器	工具列編輯器
工具栏	工具列
工具箱卷轴按钮	工具箱捲軸按鈕
最上层窗口	最上層視窗
最上层显示窗口	最上層顯示視窗
跟踪级别	追蹤層級
跟踪信息	追蹤訊息
轨迹	軌跡
跟踪	追蹤
后随字节	後隨位元組
培训	訓練
异动日志文件	異動日誌檔案
传输协议 (TCP)	傳輸通訊協定 (TCP)
暂时性数据汇总工具	暫時性資料彙總工具
晶体管	電晶體
过渡持续时间	轉場持續時間
开始发送	初始化傳送
正在传输	傳送中
传输协议	傳輸通訊協定
树查看	樹狀檢視
三并词	三併詞
疑难解答	疑難排解
TrueType 字体	TrueType 字型
Try 列块	Try 區塊
周二	週二
教程	教學課程
在这里键入	在這裡鍵入
类型信息模型	類型資訊模型
类型库	類型程式庫
类型转换符	類型轉換子
类型宣告字符	類型宣告字元
类型信息	類型資訊
类型库文件	類型程式庫檔案
链接类型	連結類型
类型宣告字符	類型宣告字元
无类型程序设计	無類型程式設計
台风	颱風
超声波	超音波
一元运算符	一元運算子
自主式运行	自主式執行
无法用	不可使用
不可用	無法使用
取消备注	取消註解
下划线	底線
基础数据表	基礎資料表
撤销签出	復原簽出
撤销旗标	復原旗標
还原上次操作	復原上次的動作
还原上次操作	復原上次的動作
已撤销	已復原
异常错误	意外的錯誤
制式数据传输	制式資料傳輸
通用独一标识码	通用獨一識別碼
未知的	不明的
未知	不詳
断开网络驱动器	中斷網路磁碟機
无标题的书签	未命名的書籤
无法识别的模式	無法識別的方案
无法识别的	無法辨識的
删除注册	移除註冊
可变大小数组	可變大小陣列
无标题	未命名
上下按钮控件	上下按鈕控制項
更新处理函数	更新處理函式
更新信息	更新資訊
更新 OLE 对象	更新 OLE 物件
上限 	上限
向上兼容子集 	向上相容子集
需要用户干预	需要使用者介入
使用过文件	使用過檔案
已用空间	使用空間
用户控件 	使用者控制項
用户控件	使用者控制項
用户数据包协议	使用者資料包通訊協定
用户定义类型	使用者定義類型
用户定义	使用者定義
用户定义信息	使用者定義訊息
用户文件	使用者文件
用户定义操作符	使用者定義運算子
用户标识码	使用者識別碼
用户帐户	使用者帳戶
用户定义数据类型	使用者定義資料類型
用户操作	使用者介入
用户级	使用者級
用户列表	使用者清單
用户名	使用者名稱
用户概况表	使用者概況表
用户数据表	使用者資料表
用户	使用者
用户定义数据类型	使用者定義資料類型
用户定义信息	使用者定義訊息
用户定义运算符	使用者定義運算子
使用介面对象	使用介面物件
使用帮助	使用說明
公用程序	公用程式
有效连接字符串	有效連接字串
可变个数参量	可變個數引數
变量	變數
Variant 表达式	Variant 運算式
VBA 项目	VBA 專案
矢量字体	向量字型
矢量	向量
操作	動作
冗长	繁瑣
变量	變數
版本信息	版本資訊
纵向平铺窗口	垂直並排
可行函数	可行函式
视频编码解码器	視訊編碼解碼器
可视会议	視訊會議
视频编码	視訊編碼
Windows 视频	Video for Windows
视频输入	視訊輸入
视频输入	視訊輸入
视频输出	視訊輸出
视频输出	視訊輸出
摄像机	攝影機
视频流	視訊串流
录像带	錄影帶
视频	視訊
查看差异	檢視差異
查看分页符号	檢視分頁符號
查看器窗格	檢視器窗格
查看器	檢視器
查看区原点	檢視區原點
查看区	檢視區
查看	檢視
虚拟基底类	虛擬基底類別
虚拟设备驱动程序	虛擬裝置驅動程式
虚拟内存	虛擬記憶體
虚拟专用网	虛擬私人網路
视觉化设计工具 	視覺化設計工具
画外音	旁白
虚值指标 	虛值指標
虚值 	虛值
墙纸	桌布
监看表达式	監看運算式
波形设备	聲波裝置
波形格式	聲波格式
波形音频	波形音效
弱式外部链接	弱式外部連結
站点	網站
网络广播 	網路廣播
网页或文件	網頁或檔案
周三	週三
周末	週末
泛空白字符	泛空白字元
全词匹配	全字拼寫
宽字符	寬字元
宽字符常量	寬字元常數
全半角须相符	全半形須相符
通配符	萬用字元
通配符	萬用字元
窗口对象	視窗物件
窗口特性	視窗特性
窗口类	視窗類別
窗口宽高 	視窗寬高
窗口句柄	視窗句柄
窗口源	視窗源
窗口程序 	視窗程序
窗口方框 	視窗方框
窗口样式	視窗樣式
窗口	視窗
无窗口控件	無視窗控制項
Windows 会期期间	Windows 工作期間
智能	智慧
向导管理器	精靈管理器
向导	精靈
WMI 事件供应商	WMI 事件提供者
WMI 实例供应商	WMI 實體提供者
文字处理	文書處理
词	字
单词	單字
劳动日	工作日數
工作簿对象	工作簿物件
背景工作线程 	背景工作線程
工作流程处理向导	工作流程處理精靈
工作流程工具栏控件	工作流程工具列控制項
工作流程操作	工作流程動作
工作流程部署向导	工作流程部署精靈
工作流程对象	工作流程物件
工作流程状态栏	工作流程狀態列
工作流程数据表	工作流程資料表
工作文件	工作檔案
工作组	工作群組
工作区配置文件	工作區組態檔案
工作区选项文件	工作區選項檔案
工作区窗口	工作區視窗
全球信息网	全球資訊網
滚动磁盘栏	捲動磁碟列
滚动工具栏	捲動工具列
包装函式类	包裝函式類別
只写	唯寫
只写	唯寫
以零为基准的索引	以零為基準的索引
邮政编码	郵遞區號
光盘记录暂存区	光碟記錄暫存區
光盘内容表	光碟內容表
摘要文件	摘要檔案
准确地	準確地
音频光盘	音訊光碟
音频轨段	音訊軌段
音频采集	音訊擷取
音频序列	音訊序列
音频光盘	音訊光碟
文献文件	文獻檔案
空白光盘	空白光碟
可开机光盘	可開機光碟
启动载入模式	啟動載入模式
刻录影像	燒錄影像
刻录设置数值	燒錄設定值
刻录	燒錄
刻录进程	執行進程
总线类型	匯流排類型
激光功率校测区	雷射功率校測區
复制光盘	複製光碟
光盘录制	光碟錄製
光盘刻录机	光碟燒錄機
只读光驱	唯讀光碟機
可抹写光盘刻录机	可抹寫光碟燒錄機
光盘写录机	光碟寫錄機
光盘复制	光碟複製
可录式光盘	可錄式光碟
光盘刻录机	光碟燒錄機
可抹写式光盘	可抹寫式光碟
光盘文字功能	光碟文字功能
关闭光盘	關閉光碟
恒定比特率	固定位元率
版权文件	版權檔案
循环冗余检查 (CRC)	循環冗餘檢查 (CRC)
循环冗余检查 (CRC)	循環冗餘檢查 (CRC)
数据筹备	資料籌備
数据轨段	資料軌段
禁用	停用
光盘一次写录 (DAO)	光碟一次寫錄 (DAO)
光盘标签	光碟標籤
光盘一次写录 (DAO)	光碟一次寫錄 (DAO)
光盘匣门打开	光碟匣門開啟
光盘匣门	光碟匣門
退出光盘	退出光碟
启用	啟用
退出时间	結束時間
均衡器	等化器
快速复制 (即时写录)	快速複製 (即時寫錄)
文件系统	檔案系統
最终化光盘	終結最終化光碟
最终化光盘	最終化光碟
固件	韌體
影像刻录机	影像燒錄機
标签	標籤
链接/读入/读出	連結/讀入/讀出
主要光盘	主要光碟
混合模式光盘	混合模式光碟
挂载	掛載
正在挂载	正在掛載
原生音频	原生音訊
真时	即時
真时	即時
超量刻录光盘	超量燒錄光碟
超量刻录	超量燒錄
重叠音频	重疊音訊
超量刻录	超量燒錄
数据包写入	封包寫入
填补列块	填補區塊
优先级	優先等級
抚静音频	撫靜音訊
未经处理数据	未經處理資料
录制的光盘	錄製的光碟
刻录机	燒錄機
多余音频	多餘音訊
剩余时间	剩餘時間
设置数值	設定值
仿真	模擬
源媒体	來源媒體
标准编辑的	標準編輯的
标准编辑	標準編輯
系统标识符	系統識別碼
轨段列表格式	軌段清單格式
解除挂载	解除掛載
正在解除挂载	正在解除掛載
可变比特率	可變位元率
虚拟光盘	虛擬光碟
卷辑标签	卷輯標籤
卷辑设置	卷輯設定
卷辑创建时间	卷輯建立日期
卷辑生效日期	卷輯有效日期
桦色	樺色
镉绿	鎘綠
镉红	鎘紅
深镉黄	深鎘黃
浅镉黄	淺鎘黃
寻麻酒色	蕁麻酒色
钴蓝	鈷藍
钴绿	鈷綠
钴紫罗兰	鈷紫羅蘭
朱鹭色	朱鷺色
深橄榄绿	深橄欖綠
深橄榄绿	深橄欖綠
法国绀青	法國紺青
镉橙	鎘橙
镉黄	鎘黃
灰橄榄色	灰橄欖色
里叶色	裡葉色
拿波里黄	拿波里黃
橄榄绿	橄欖綠
橄榄黄	橄欖黃
秘鲁褐	祕魯褐
焦茶─深褐	焦茶—深褐
钛白	鈦白
绀蓝	紺藍
视图(&V)	檢視(&V)
快速键字符串	快速鍵字串
活动文件	作用中的檔案
添加帮助文件	加入說明檔案
高级排序	進階排序
全部大写的单词	全部大寫的單字
允许多重实例	允許多重實體
DOS box 撷取备选方案	DOS box 擷取備選方案
总在最前面	最上層顯示
排列图标	排列圖示
ascii 字符对照表	ascii 字元對照表
分配	指派
自动更改	自動變更
书签	書籤
字首大写的单词	字首大寫的單字
层叠窗口	重疊顯示
居中	置中對齊
列块居中	區塊置中對齊
字符分隔	字元分隔
清除所有书签	清除所有書籤
剪贴板	剪貼簿
列块模式	區塊模式
列块	區塊
添加注释	加入註釋
移除注释	移除註釋
注释	註釋
比较文件	比較檔案
建议更改	建議變更
转换为字符分隔	轉換為字元分隔
浮动图标工具栏	浮動圖示工具列
当前分配	目前指派
剪切列块	剪下區塊
删除活动文件	刪除作用中檔案
删除列块	刪除區塊
差异处以颜色区分	差異處以色彩區分
差异处以并行显示	差異處以並列顯示
禁用分隔线	停用分隔線
显示标尺	顯示尺規
重复的单词	重複的單字
重复复制窗口	重製視窗
编辑宏	編輯巨集
退出	離開
收藏的文件	最愛的檔案
文件描述	檔案描述
文件增量	檔案增量
文件树	檔案樹
填充段落	填滿段落
批量文件查找	多重檔案尋找
查找下一个	尋找下一個
查找符号	尋找符號
全屏方式	全螢幕模式
函数列表	函式清單
反向缩进	凸排
hex 复制选定的查看区	hex 複製選取的檢視區
hex 转到	hex 前往
高亮显示类型	高亮度顯示類型
清理 html 源代码	清理 html 來源碼
搜索最符合	搜尋最符合
缩进空格数	縮排空格數
缩进	縮排
插入颜色	插入色彩
插入/填充列块	插入/填滿區塊
实例	實體
左对齐	靠左對齊
列块左对齐	區塊靠左對齊
行尾字符	行尾字元
宏列表	巨集清單
创建副本/备份	建立副本/備份
匹配大小写	符合大小寫
菜单外观	功能表外觀
打印时参照显示字体	列印時參照顯示字型
新建项目	新增專案
下一个书签	下一個書籤
下一个窗口	下一個視窗
不做高亮显示	不做高亮度顯示
从 ftp 打开	從 ftp 開啟
打开项目	開啟專案
输出窗口	輸出視窗
分页符	分頁符號
页面设置	頁面設定
运行宏	執行巨集
多次运行宏	多次執行巨集
快显菜单	快顯功能表
打印所有文件	列印所有檔案
打印预览	預覽列印
打印设置	列印設定
快速打开	快速開啟
快速录制宏	快速錄製巨集
只读	唯讀
最近使用的文件	最近使用的檔案
最近使用的项目	最近使用的專案
录制宏	錄製巨集
正规表达式	常規表示式
选定区重新缩进	選取區重新縮排
重命名文件	重新命名檔案
批量文件替换	多重檔案取代
替换	取代
复位为默认字体	重設為預設字型
恢复原保存状态	恢復原儲存狀態
右对齐	靠右對齊
列块右对齐	區塊靠右對齊
运行 windows 程序	執行 windows 程式
保存全部	儲存全部
保存到 ftp	儲存到 ftp
选定区另存为	選取區另存為
保存	儲存
全部选定	全選
选定一行	選取一行
选定范围	選取範圍
选定单词	選取單字
设置自动加载的宏	設定自動載入的巨集
设置颜色	設定色彩
设置纵列标记	設定縱列標記
设置显示字体	設定顯示字型
设置 hex/列块字体	設定 hex/區塊字型
设置打印机字体	設定印表機字型
在浏览器中显示	在瀏覽器中顯示
将分页符显示为一行	將分頁符號顯示為一行
显示空格/制表符	顯示空格/定位字元
拼写检测	拼字檢查
拼写检测	拼字檢查
拆分窗口	分割視窗
拆分单词	分割單字
状态栏	狀態列
停止录制宏	停止錄製巨集
列块数字总和	區塊數字總和
选定区数字总和	選取區數字總和
同步滚动	同步捲動
语法高亮颜色显示	語法高亮度色彩顯示
语法高亮显示	語法高亮度顯示
系统托盘	系統匣
页签	頁籤
标签列表	標籤清單
模板列表	模板清單
水平平铺	水平並排
垂直平铺	垂直並排
切换书签	切換書籤
工具配置	工具組態
工具栏	工具列
撤销	復原
用户模板	使用者模板
高亮显示类型	高亮度顯示類型
计算单词数目	計算單字數目
大小写混合的单词	大小寫混合的單字
含数字的单词	含數字的單字
地址簿	通訊錄
附加文件	附加檔案
密件抄送	密件副本
抄送	副本
检查邮件	檢查信件
